RelativePath,Disposition,PublicTracking,Notes
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_CF01_COUNTERFACTUAL_CHARACTERIZATION_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_CF01_COUNTERFACTUAL_CHARACTERIZATION_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D1_D11_APPLICABILITY_AUDIT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D1_D11_APPLICABILITY_AUDIT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D4_D5_D9_FAILURE_LOCALIZATION_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D4_D5_D9_FAILURE_LOCALIZATION_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D9_OUTCOME_TRANSLATION_AUDIT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D9_OUTCOME_TRANSLATION_AUDIT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D9_RESIDUAL_CARRIER_STOPPOINT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/HIST_DIAG_CTRL_01_D9_RESIDUAL_CARRIER_STOPPOINT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/NEW_EVIDENCE_ACQUISITION_PLAN_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/NEW_EVIDENCE_ACQUISITION_PLAN_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/control-validation/historical-v3.3/results/STEP_2_POSITIVE_CONTROL_HIST_DIAG_CTRL_01_RESULT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/BLIND_PACKAGE_FREEZE_RECORD_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/BLIND_PACKAGE_FREEZE_RECORD_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/D9_NEW_EVIDENCE_MAPPING_PLAN_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/D9_NEW_EVIDENCE_MAPPING_PLAN_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/D9_NEW_EVIDENCE_MAPPING_RESULT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/D9_NEW_EVIDENCE_MAPPING_RESULT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_INSTRUCTION_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_INSTRUCTION_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_VERBATIM_SOURCE_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_VERBATIM_SOURCE_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_VERBATIM_SOURCE_v0.1_PROVENANCE.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_BLIND_CLASSIFICATION_VERBATIM_SOURCE_v0.1_PROVENANCE.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_VERBATIM_SOURCE_PROVENANCE_HISTORY_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/FRIDA_VERBATIM_SOURCE_PROVENANCE_HISTORY_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PREREGISTRATION_CLARIFICATION_01_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PREREGISTRATION_CLARIFICATION_01_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FIXTURE_FREEZE_RECORD_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FIXTURE_FREEZE_RECORD_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FRIDA_MECHANICAL_FIXTURE_AUDIT_PROTOCOL_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FRIDA_MECHANICAL_FIXTURE_AUDIT_PROTOCOL_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FRIDA_MECHANICAL_FIXTURE_AUDIT_RESULT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PRE_FRIDA_MECHANICAL_FIXTURE_AUDIT_RESULT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PROSPECTIVE_DIAG_PROBE_01_PREREGISTRATION_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PROSPECTIVE_DIAG_PROBE_01_PREREGISTRATION_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PROSPECTIVE_DIAG_PROBE_01_PRIMARY_RESULT_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/PROSPECTIVE_DIAG_PROBE_01_PRIMARY_RESULT_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/SONNET_FIXTURE_FREEZE_MANIFEST_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/SONNET_FIXTURE_FREEZE_MANIFEST_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/blind-package/PROSPECTIVE-DIAG-PROBE-01_FRIDA_BLIND_PACKAGE.zip,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/blind-package/PROSPECTIVE-DIAG-PROBE-01_FRIDA_BLIND_PACKAGE.zip.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/blind-package/PROSPECTIVE-DIAG-PROBE-01_FRIDA_BLIND_PACKAGE/CASE_X.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/blind-package/PROSPECTIVE-DIAG-PROBE-01_FRIDA_BLIND_PACKAGE/CASE_Y.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/blind-package/PROSPECTIVE-DIAG-PROBE-01_FRIDA_BLIND_PACKAGE/FRIDA_BLIND_CLASSIFICATION_INSTRUCTION_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/CASE_X.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/CASE_X.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/CASE_Y.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/CASE_Y.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/SONNET_FIXTURE_PAIR_ORIGINAL.txt,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/prospective/PROSPECTIVE-DIAG-PROBE-01/fixtures/SONNET_FIXTURE_PAIR_ORIGINAL.txt.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/transfer/FRIDA_AICOS_FULL_RESEARCH_HANDOFF_MANIFEST_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/transfer/FRIDA_AICOS_FULL_RESEARCH_HANDOFF_MANIFEST_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/transfer/FRIDA_PRE_TRANSFER_IN_SCOPE_TEST_DESIGN_BRIEF_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/diagnosticity/transfer/FRIDA_PRE_TRANSFER_IN_SCOPE_TEST_DESIGN_BRIEF_v0.1.md.sha256,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
research-context/additional-local/measurement-assurance/independent-testing/AICOS_BLACK_BOX_ADVERSARIAL_TEST_SUITE_v0.1.md,NON_CANONICAL_RESEARCH_CONTEXT,INCLUDED,Byte-verified historical/context artifact; not canonical frozen evidence.
runtime-provenance/README.md,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
runtime-provenance/RUNTIME_BUNDLE_HASHES.csv,HANDOFF_INDEX_RESEARCH_NOTE,INCLUDED,"Repository guide, inventory, provenance, publication review, or research-note artifact."
